appid,name,price,release_date,required_age,genres,achievements,positive_ratings,negative_ratings,windows,mac,linux
57690,Tropico 4,12.49,2011-09-01,0,Simulation;Strategy,70,8740,827,True,True,False
57700,Who's That Flying?!,3.99,2011-01-31,0,Action;Casual;Indie,12,98,42,True,False,False
57740,Jagged Alliance - Back in Action,14.99,2012-02-08,0,RPG;Simulation;Strategy,60,730,345,True,True,True
57800,Doc Clock: The Toasted Sandwich of Time,2.99,2010-10-15,0,Adventure;Casual;Indie,12,79,92,True,True,False
57900,Duke Nukem Forever,14.99,2011-06-09,18,Action,62,4433,2243,True,True,False
58200,Jolly Rover,6.99,2010-06-07,0,Adventure;Casual;Indie,16,249,31,True,True,False
58230,MacGuffin's Curse,6.99,2012-04-19,0,Adventure;Casual;Indie,15,81,16,True,True,False
58400,Turba,3.49,2010-07-01,0,Casual;Indie,21,46,83,True,False,False
58520,Blood Bowl - Legendary Edition,7.99,2010-10-28,0,Sports;Strategy,0,675,228,True,False,False
58550,A Game of Thrones - Genesis,6.99,2011-09-28,0,Strategy,75,201,420,True,False,False
58560,Runaway: A Twist of Fate,6.99,2011-04-21,0,Adventure,0,191,34,True,False,False
58570,The Next BIG Thing,6.99,2011-04-21,0,Adventure,0,352,59,True,True,False
58610,Wargame: European Escalation,7.99,2012-02-22,0,Strategy,29,1892,574,True,True,True
60340,Luxor: 5th Passage,6.99,2011-01-25,0,Action;Adventure;Casual,0,39,20,True,True,False
60350,Glowfish,6.99,2011-09-30,0,Adventure;Casual;Indie,25,80,11,True,True,False
60600,ProtoGalaxy,0.0,2010-10-06,0,Action;Indie,33,30,22,True,False,False
60700,Power of Defense,6.99,2010-08-04,0,Strategy;Indie,26,9,25,True,True,False
60800,Numen: Contest of Heroes,4.99,2010-06-03,0,RPG,0,66,69,True,False,False
61100,Lucid,4.99,2011-07-19,0,Indie;Casual,11,171,53,True,False,False
61310,Fractal: Make Blooms Not War,4.99,2011-11-29,0,Indie;Casual,0,140,44,True,True,False
61500,Age of Wonders,3.99,2010-10-01,0,RPG;Strategy,0,334,98,True,False,False
61510,Age of Wonders II: The Wizard's Throne,6.99,2010-10-01,0,RPG;Strategy,0,105,28,True,False,False
61520,Age of Wonders Shadow Magic,6.99,2010-10-01,0,RPG;Strategy,0,225,35,True,False,False
61600,Zen Bound 2,3.99,2010-11-16,0,Indie;Casual,11,432,65,True,True,True
61700,Might & Magic: Clash of Heroes,8.59,2011-09-21,0,RPG;Strategy,14,1293,157,True,False,False
61730,Critter Crunch,4.99,2012-09-11,0,Action;Indie;Casual,14,256,14,True,True,False
62000,Flight Control HD,2.99,2010-11-18,0,Action;Casual,16,406,36,True,True,False
62100,Chime,3.99,2010-09-06,0,Casual,15,564,39,True,False,False
63000,HOARD,6.99,2011-04-04,0,Action;Casual;Indie;Strategy,129,673,168,True,True,True
63110,Alter Ego,7.19,2010-08-03,0,Adventure,0,139,59,True,False,False
63200,Monday Night Combat,3.99,2011-01-24,0,Action;Strategy;Indie;Sports,51,720,205,True,False,False
63500,Swords and Soldiers HD,6.99,2010-12-02,0,Action;Casual;Indie;Strategy,25,572,160,True,True,False
63610,Riven: The Sequel to MYST,3.99,2010-08-04,0,Adventure;Casual,0,288,103,True,True,False
63650,URU: Complete Chronicles,6.99,2010-08-03,0,Adventure;Casual,0,68,18,True,True,False
63660,Myst: Masterpiece Edition,3.99,2011-02-02,0,Adventure;Casual,0,155,80,True,True,False
63700,BIT.TRIP BEAT,6.99,2010-11-02,0,Action;Casual;Indie,26,616,140,True,True,False
63710,BIT.TRIP RUNNER,6.99,2011-02-28,0,Action;Indie,26,3058,490,True,True,False
63800,Delve Deeper,3.99,2010-09-24,0,Adventure;Indie;RPG;Strategy,50,225,159,True,False,False
63900,Fantasy Wars,3.99,2010-08-06,0,Strategy,0,115,28,True,False,False
63910,King's Bounty: Crossworlds,11.99,2010-09-17,0,RPG;Strategy,0,492,47,True,False,False
63940,Men of War: Vietnam,5.59,2011-09-08,0,Strategy,22,399,247,True,False,False
